id,name,current_price,old_price,created_date,updated_date,expiry_date
25,Vegetable Oil,460.5,524.27,2024-08-14T10:27:24.000+05:30,2024-09-14T17:30:43.000+05:30,2025-07-22
168,Shampoo,413.11,479.47,2022-07-26T20:51:07.000+05:30,2024-09-21T12:02:12.000+05:30,2025-08-20
106,Vegetable Oil,455.05,490.8,2023-11-18T15:08:22.000+05:30,2024-01-31T07:28:02.000+05:30,2024-10-02
757,Soft Drinks,11.21,66.81,2022-02-07T06:57:32.000+05:30,2022-08-06T17:44:24.000+05:30,2025-08-09
412,Juice,373.8,430.06,2023-08-31T21:04:02.000+05:30,2023-12-02T00:07:27.000+05:30,2025-06-09
516,Toothpaste,224.4,282.97,2022-08-30T23:28:48.000+05:30,2023-08-29T23:37:30.000+05:30,2024-10-28
92,Butter,281.45,329.55,2022-03-15T23:26:14.000+05:30,2023-09-25T19:21:02.000+05:30,2025-05-13
982,Sugar,146.59,215.46,2022-01-11T22:36:53.000+05:30,2022-02-16T01:21:09.000+05:30,2025-05-06
243,Wheat Flour,422.53,439.03,2021-11-26T11:25:45.000+05:30,2023-01-26T07:09:23.000+05:30,2024-10-09
327,Salt,224.95,238.23,2023-03-19T18:27:33.000+05:30,2023-07-08T00:22:01.000+05:30,2025-08-03
689,Soap,220.95,291.52,2022-12-05T08:30:51.000+05:30,2023-03-28T18:37:15.000+05:30,2025-03-31
297,Salt,455.82,475.94,2022-08-26T11:18:23.000+05:30,2023-08-05T14:02:16.000+05:30,2025-03-08
905,Vegetable Oil,489.02,502.1,2023-07-27T11:49:07.000+05:30,2023-11-07T02:25:58.000+05:30,2025-05-01
979,Rice,326.5,362.91,2024-08-10T19:54:36.000+05:30,2024-09-19T22:08:59.000+05:30,2025-07-25
566,Coffee,61.74,152.91,2024-05-22T09:45:01.000+05:30,2024-05-24T11:51:05.000+05:30,2024-11-26
997,Biscuits,253.82,290.02,2022-07-15T13:54:20.000+05:30,2023-02-13T01:42:38.000+05:30,2024-12-04
799,Eggs,462.57,525.64,2024-01-21T08:53:11.000+05:30,2024-08-26T08:06:00.000+05:30,2025-04-20
469,Rice,365.76,399.03,2022-02-10T18:21:01.000+05:30,2023-06-26T07:59:14.000+05:30,2025-08-02
459,Sugar,423.27,493.97,2023-08-17T06:21:35.000+05:30,2024-06-07T09:54:55.000+05:30,2024-11-03
445,Bread,154.0,227.77,2022-02-14T02:50:20.000+05:30,2022-04-06T11:20:07.000+05:30,2025-07-02
