customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column
9,8,Juice,05-11-2021,9,294.25,6,1765.5,abs
12,7,Salt,08-09-2020,15,166.46,18,2996.28,abs
14,10,Butter,05-05-2021,10,105.75,6,634.5,abs
10,3,Detergent,18-04-2020,7,284.9,3,854.7,abs
7,6,Juice,01-01-2022,18,158.66,8,1269.28,abs
11,4,Butter,28-03-2022,15,44.38,4,177.52,abs
13,4,Soft Drinks,30-08-2021,1,134.19,4,536.76,abs
7,1,Tea,25-08-2021,12,446.1,5,2230.5,abs
1,2,Rice,17-08-2023,8,18.04,11,198.44,abs
4,1,Tea,29-01-2022,3,313.1,9,2817.9,abs
16,7,Pulses,06-01-2023,18,21.52,14,301.28,abs
18,4,Biscuits,01-03-2020,1,442.2,11,4864.2,abs
14,2,Coffee,26-01-2022,16,303.7,3,911.1,abs
1,4,Eggs,17-03-2022,1,347.38,12,4168.56,abs
3,5,Butter,11-02-2022,13,233.99,1,233.99,abs
11,8,Juice,22-02-2022,7,295.0,13,3835.0,abs
5,9,Vegetable Oil,16-07-2020,4,60.95,5,304.75,abs
17,5,Butter,15-06-2023,18,292.91,2,585.82,abs
10,8,Biscuits,23-05-2023,7,31.31,19,594.89,abs
16,9,Shampoo,18-11-2020,17,211.84,15,3177.6,abs
12,9,Shampoo,10-06-2021,3,28.53,1,28.53,abs
6,7,Coffee,17-09-2020,5,96.07,11,1056.77,abs
12,8,Shampoo,25-08-2020,11,477.37,16,7637.92,abs
17,7,Soft Drinks,26-10-2021,18,257.21,8,2057.68,abs
7,10,Detergent,14-09-2021,13,146.04,16,2336.64,abs
8,10,Shampoo,11-08-2020,15,157.82,12,1893.84,abs
8,3,Bread,25-05-2022,8,323.4,17,5497.8,abs
10,3,Sugar,26-01-2020,9,404.75,13,5261.75,abs
14,8,Bread,19-04-2021,12,74.11,17,1259.87,abs
7,7,Sugar,19-04-2023,1,199.99,4,799.96,abs
15,3,Bread,23-01-2022,12,235.06,1,235.06,abs
3,6,Tea,28-06-2021,10,453.45,1,453.45,abs
19,10,Toothpaste,14-06-2023,4,474.55,13,6169.15,abs
9,6,Coffee,08-02-2021,2,306.33,8,2450.64,abs
5,8,Biscuits,07-02-2020,12,242.8,14,3399.2,abs
3,2,Biscuits,08-06-2022,19,425.08,16,6801.28,abs
12,8,Soft Drinks,16-06-2020,2,465.8,9,4192.2,abs
9,6,Biscuits,26-06-2022,13,107.16,3,321.48,abs
7,3,Tea,08-04-2022,3,265.07,7,1855.49,abs
13,5,Bread,20-08-2020,7,296.22,5,1481.1,abs
5,3,Eggs,11-01-2021,6,230.41,16,3686.56,abs
6,7,Frozen Vegetables,16-12-2020,15,50.79,11,558.69,abs
12,2,Shampoo,24-11-2021,18,125.82,17,2138.94,abs
7,10,Soap,31-03-2023,6,170.21,4,680.84,abs
6,7,Wheat Flour,07-08-2021,5,460.5,16,7368.0,abs
2,10,Soft Drinks,27-02-2021,12,110.81,4,443.24,abs
15,10,Coffee,22-08-2021,2,109.4,20,2188.0,abs
6,9,Salt,04-12-2021,5,379.33,2,758.66,abs
14,4,Pulses,15-04-2021,2,344.76,3,1034.28,abs
1,7,Juice,20-01-2022,3,178.76,17,3038.92,abs
