customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column
1637,100,Shampoo,2020-10-24,19,413,11,4543,Reveal ask suffer.
6317,16,Biscuits,2022-01-01,9,253,17,4301,Something whatever.
2420,16,Toothpaste,2021-10-07,12,224,16,3584,Painting more care.
7350,22,Vegetable Oil,2020-01-04,4,460,7,3220,TV remember.
5254,96,Coffee,2022-12-20,7,61,4,244,Debate hospital.
2420,93,Coffee,2021-02-07,15,61,14,854,Remain follow since.
2366,16,Salt,2023-06-11,2,224,14,3136,Scene fear nearly.
2482,4,Vegetable Oil,2023-02-26,8,460,6,2760,Although model.
1405,4,Vegetable Oil,2021-01-04,14,460,20,9200,Foreign identify.
2366,72,Butter,2020-11-16,12,281,15,4215,Degree will church.
8576,72,Vegetable Oil,2023-05-12,4,460,12,5520,Happen whatever.
2420,93,Biscuits,2022-02-06,4,253,8,2024,Over successful.
8576,16,Wheat Flour,2022-06-24,2,422,4,1688,Key lose race tax.
8603,22,Vegetable Oil,2022-11-26,12,460,18,8280,Score about.
4986,96,Butter,2020-06-07,5,281,12,3372,Be improve base her.
1637,1,Shampoo,2023-05-12,19,413,11,4543,Gun owner wear.
1489,16,Rice,2021-06-14,10,326,19,6194,Right here.
2482,43,Vegetable Oil,2022-02-27,9,460,2,920,Over foot response.
7350,93,Bread,2023-06-22,15,154,18,2772,Blood cost kid not.
1637,4,Bread,2023-05-06,14,154,11,1694,Will require inside.
8341,43,Soap,2023-01-27,18,220,14,3080,Tonight wrong.
5253,16,Toothpaste,2022-10-26,9,224,13,2912,They after program.
6882,1,Sugar,2023-04-25,17,146,8,1168,End order heavy.
8164,16,Vegetable Oil,2020-08-21,20,460,13,5980,Bar might man act.
3346,22,Rice,2021-02-03,6,326,3,978,Turn machine.
1637,100,Shampoo,2022-06-25,1,413,9,3717,Reveal those feel.
1489,63,Salt,2022-05-21,17,224,7,1568,Such rate establish.
5254,43,Rice,2020-09-19,1,326,3,978,Reflect protect.
8603,1,Vegetable Oil,2021-11-20,6,460,15,6900,Road must inside.
8164,63,Wheat Flour,2023-06-16,17,422,20,8440,Man enter cultural.
2366,22,Juice,2021-05-20,19,373,7,2611,Look just quickly.
6317,43,Vegetable Oil,2021-04-01,20,460,15,6900,On try again impact.
5253,96,Bread,2022-02-10,9,154,14,2156,Young try offer.
1489,63,Rice,2021-04-24,19,326,1,326,Imagine fine.
7841,96,Vegetable Oil,2020-01-02,20,460,1,460,Will free another.
7350,63,Eggs,2020-09-17,8,462,12,5544,Those thing.
7763,100,Sugar,2022-06-17,6,146,12,1752,Of social they.
2420,96,Shampoo,2020-04-18,14,413,14,5782,Concern seven Mrs.
2420,72,Sugar,2021-11-08,19,146,1,146,Shake town society.
8164,100,Toothpaste,2023-02-27,9,224,13,2912,Difference together.
1637,4,Shampoo,2020-08-28,14,413,11,4543,Behavior check.
6642,4,Soap,2022-09-10,1,220,1,220,Wait increase often.
5253,100,Shampoo,2020-04-18,7,413,6,2478,Whatever son card.
8164,22,Sugar,2020-02-14,6,146,10,1460,Change hundred.
4045,43,Salt,2022-08-01,7,224,19,4256,Exist garden my.
7763,16,Juice,2022-11-06,2,373,15,5595,Car rise leave back.
2366,72,Eggs,2023-07-08,4,462,6,2772,Leave individual.
6319,72,Sugar,2020-06-07,1,146,7,1022,Result short sport.
1405,63,Vegetable Oil,2020-01-10,16,460,19,8740,Government few.
6882,1,Vegetable Oil,2021-01-09,15,460,16,7360,Plant late compare.
7350,16,Vegetable Oil,2023-07-06,5,460,10,4600,Teach language both.
1405,93,Sugar,2022-04-28,17,146,15,2190,Federal week.
6642,43,Soap,2021-09-16,8,220,3,660,Military else bit.
4986,43,Coffee,2023-04-15,9,61,5,305,Military conference.
8576,96,Bread,2022-12-10,16,154,12,1848,Ready order brother.
8603,93,Salt,2020-06-28,10,224,7,1568,Understand decide.
4986,22,Vegetable Oil,2020-10-28,12,460,12,5520,Expert from either.
7038,43,Butter,2022-05-29,15,281,8,2248,Catch kitchen heavy.
7350,63,Sugar,2023-05-10,20,146,19,2774,When decision full.
