id,address,store_pincode,store_manager_name,store_opening_date,reviews
63.0,"44/11, Kota Circle, Bhiwani-353348",30201.0,Yoshita Ghosh,2006-09-04,
100.0,"30, Saraf Circle, Jamnagar 351217",,Arjun Pathak,2001-07-08,Sapiente dolorem quibusdam. Hic at facilis enim culpa. Ab amet explicabo consequuntur nisi recusandae.
4.0,Quas cum dolorem ipsam iure veniam dolores. Temporibus eligendi vel ratione veniam.,765194.0,Jatin Vasa,,"85/880, Kapadia Path, Gulbarga 143164"
quibusdam,"H.No. 78, Gara Chowk, Munger-731286",754641.0,Chandani Kohli,2017-03-14,Consectetur laudantium rerum unde tempore unde mollitia. Repellat architecto necessitatibus a hic tempora. Ducimus aliquid dolores ipsa.
22.0,"98/834, Bora Ganj, Dharmavaram-898570",484963.0,Anamika Karnik,942.9386065395316,158.0192159232513
96.0,"28/337, Sridhar Marg, Morena-527447",846032.0,Advika Taneja,2011-05-31,Quis perspiciatis distinctio veritatis blanditiis molestias ut culpa. Sit culpa dolorem aspernatur recusandae incidunt. Repellat suscipit similique quidem reiciendis necessitatibus iure.
72.0,"16, Subramanian, Dindigul-302513",8943.0,587.2974191637485,2011-04-29,Veniam beatae porro ea natus. Tenetur laboriosam architecto.
16.0,"080, Prashad Ganj, Tinsukia 355765",563657.0,Chameli Nagi,2007-10-04,Enim dicta natus necessitatibus voluptates explicabo beatae quisquam.
,656.6994297847234,consectetur,Ayaan Baral,2013-03-15,Culpa incidunt facilis dolor. Fuga quod non unde occaecati tempora. Veniam ea culpa ipsam. Placeat tempore soluta nam animi reprehenderit perferendis.
43.0,"35/482, Bhargava Chowk, Bathinda-177656",113242.0,,2008-02-17,Iste dicta explicabo rem. Deserunt laboriosam eaque perferendis animi numquam.
