customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column
9.0,8.0,Juice,,9.0,294.25,6.0,1765.5,
12.0,7.0,359.64898975424074,2020-09-08,15.0,166.46,reiciendis,2996.28,Tough project agreement black power suddenly inside education. See responsibility prepare peace call conference. Day get forget nice none religious.
14.0,10.0,Butter,661.9903562078171,10.0,,6.0,634.5,"Whatever attack author will story candidate. Method free movement woman clearly after particularly marriage.
Election room worker doctor green tend. Never group win subject production."
10.0,3.0,Detergent,2020-04-18,7.0,284.9,3.0,854.7,
,6.0,Juice,2022-01-01,18.0,fugit,8.0,1269.28,"Cause get ball.
Total hour guess goal over. Production attorney out product continue receive.
Question crime what measure. How ever eight against. There lot use southern.
Guy section apply attorney."
11.0,4.0,359.64898975424074,2022-03-28,15.0,44.38,4.0,177.52,"Whatever few scientist their benefit history. Argue lot about none get short. Over option sign.
Job bad benefit. Blue ok travel authority rule least."
13.0,4.0,Soft Drinks,2021-08-30,1.0,134.19,4.0,536.76,Radio and six tonight. Image open need approach light. Care century near school card citizen.
7.0,597.4271981583381,Tea,2021-08-25,12.0,446.1,5.0,2230.5,790.82141228143
1.0,2.0,Rice,2023-08-17,8.0,18.04,11.0,198.44,Sit artist military want and international explain. Dark late president full financial care consider. Government interest soon but.
4.0,1.0,Tea,2022-01-29,3.0,313.1,9.0,2817.9,
16.0,7.0,Pulses,,,,14.0,301.28,Writer way challenge film card piece but couple. Until relationship treatment employee single month discussion.
1.0,4.0,Biscuits,2020-03-01,laudantium,442.2,11.0,4864.2,Area military case meet value shake beautiful condition. Cause begin even want network pretty contain.
14.0,2.0,Coffee,2022-01-26,16.0,303.7,3.0,necessitatibus,"Notice purpose heavy safe down sister. Near owner a to affect same gun. After total not type effort nor claim.
By subject glass place next leg difference. Available majority think size exist."
1.0,4.0,Eggs,2022-03-17,1.0,347.38,12.0,4168.56,790.82141228143
3.0,5.0,Butter,661.9903562078171,13.0,233.99,1.0,233.99,"Ask father prove rich director. Whose catch draw four. Left push similar throughout.
Factor any early little study they ask special."
11.0,8.0,Juice,2022-02-22,7.0,295.0,13.0,,"Per cold travel story. Unit today must somebody involve officer final.
Garden product including structure. I personal stuff president sell Democrat chair."
deserunt,9.0,Vegetable Oil,2020-07-16,,60.95,5.0,304.75,Guess official his interview beyond wonder group social. Vote machine tell forward eight. First feel organization word any series.
17.0,5.0,Butter,2023-06-15,18.0,292.91,2.0,585.82,"Control pay right find page easy unit.
Personal cell leave now space. Staff speak our call. Bag character such force recently chance."
10.0,8.0,Biscuits,2023-05-23,7.0,31.31,19.0,594.89,"Teach building heart address office. Tough particular stop only reality professor.
Mind avoid book. Expert pick budget position anything moment teach sound. Natural here six but site all."
16.0,9.0,Shampoo,2020-11-18,17.0,211.84,15.0,necessitatibus,Building stage reality hair. Movement significant down race likely modern cultural bad. Interest three establish. Ok book treat participant agency population.
12.0,9.0,Shampoo,2021-06-10,,28.53,1.0,28.53,Common central wide. Right test may job. Budget program require probably. Break order outside rule tree.
deserunt,7.0,Coffee,2020-09-17,5.0,96.07,11.0,1056.77,Late central bad serve. Process nor several pass star. Think determine everybody likely pressure better.
,8.0,Shampoo,2020-08-25,laudantium,477.37,,7637.92,"Recognize why material write suffer with. Let four thank college discuss democratic remain.
Air physical step full. Toward gun board design key pass exactly."
17.0,7.0,Soft Drinks,661.9903562078171,18.0,257.21,8.0,2057.68,"Decade moment address dark determine old. Raise rock both matter city when investment majority.
Head race avoid consider miss natural. Set plan different general mention."
7.0,10.0,Detergent,2021-09-14,13.0,146.04,reiciendis,2336.64,"Manage avoid better computer. Know push minute necessary century.
For cover blood decide bring whether. Their purpose remain western."
8.0,10.0,Shampoo,2020-08-11,15.0,157.82,12.0,1893.84,Hot away full speech husband might. Radio situation finish laugh letter recognize clearly.
8.0,3.0,Bread,Nature media true sense firm successful. Above star business animal word on fear senior. Top human yard sing dinner concern eye defense.,8.0,323.4,17.0,necessitatibus,2022-05-25
10.0,3.0,Sugar,2020-01-26,9.0,404.75,13.0,5261.75,"Employee sort expert improve hard. I former result president seek Republican during dinner.
Right enough scene. Himself space want ever."
14.0,8.0,Bread,2021-04-19,12.0,,17.0,1259.87,End doctor its common guess. Imagine we audience about represent. Simple occur book so within machine final.
7.0,7.0,Sugar,2023-04-19,1.0,199.99,4.0,799.96,790.82141228143
15.0,,Bread,2022-01-23,12.0,235.06,1.0,235.06,"About myself president speech. Type author history including. Buy event may reflect four.
Nor soldier stand always take tend. Start central west least usually. Road popular TV century read thing."
3.0,6.0,Tea,2021-06-28,10.0,453.45,1.0,453.45,"Win book you country.
Best which student approach stand prepare. Car agency ask. Know church whom season soon big sometimes."
19.0,,Toothpaste,2023-06-14,4.0,474.55,13.0,6169.15,Record beyond though economic catch fact campaign station. On north course hand. Add imagine heavy eye college Republican.
9.0,6.0,359.64898975424074,2021-02-08,2.0,306.33,8.0,2450.64,"Strong manager follow blood. First mission night little. Phone look team bring. It true national simple PM.
Movement new give cold. Soon game too result as door interest difficult."
