customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column
9,8,Juice,2021-11-05,9,294.25,6,1765.5,"Wind somebody wait inside others. Your not remember what assume society. Word treat exactly check.
Record day matter writer seek. Yourself describe everybody cup here. Decade move fast worry."
12,7,Salt,2020-09-08,15,166.46,18,2996.28,Tough project agreement black power suddenly inside education. See responsibility prepare peace call conference. Day get forget nice none religious.
14,10,Butter,2021-05-05,10,105.75,6,634.5,"Whatever attack author will story candidate. Method free movement woman clearly after particularly marriage.
Election room worker doctor green tend. Never group win subject production."
10,3,Detergent,2020-04-18,7,284.9,3,854.7,Inside environment worker week term white. Kitchen once college rather film. Individual sell support away exactly feeling civil.
7,6,Juice,2022-01-01,18,158.66,8,1269.28,"Cause get ball.
Total hour guess goal over. Production attorney out product continue receive.
Question crime what measure. How ever eight against. There lot use southern.
Guy section apply attorney."
11,4,Butter,2022-03-28,15,44.38,4,177.52,"Whatever few scientist their benefit history. Argue lot about none get short. Over option sign.
Job bad benefit. Blue ok travel authority rule least."
13,4,Soft Drinks,2021-08-30,1,134.19,4,536.76,Radio and six tonight. Image open need approach light. Care century near school card citizen.
7,1,Tea,2021-08-25,12,446.1,5,2230.5,"Art some notice little world. Save maybe conference officer.
Minute tax friend political mention western. Film add let member. Us candidate lead water way."
1,2,Rice,2023-08-17,8,18.04,11,198.44,Sit artist military want and international explain. Dark late president full financial care consider. Government interest soon but.
4,1,Tea,2022-01-29,3,313.1,9,2817.9,"Season hand western mouth paper. American act decide wish.
Treatment similar boy environmental. Board my already great. Look various property source wrong."
16,7,Pulses,2023-01-06,18,21.52,14,301.28,Writer way challenge film card piece but couple. Until relationship treatment employee single month discussion.
18,4,Biscuits,2020-03-01,1,442.2,11,4864.2,Area military case meet value shake beautiful condition. Cause begin even want network pretty contain.
14,2,Coffee,2022-01-26,16,303.7,3,911.1,"Notice purpose heavy safe down sister. Near owner a to affect same gun. After total not type effort nor claim.
By subject glass place next leg difference. Available majority think size exist."
1,4,Eggs,2022-03-17,1,347.38,12,4168.56,Opportunity suggest bank set care meet reduce social. Market perform clearly better stock condition ok. Father water write price fund agent.
3,5,Butter,2022-02-11,13,233.99,1,233.99,"Ask father prove rich director. Whose catch draw four. Left push similar throughout.
Factor any early little study they ask special."
11,8,Juice,2022-02-22,7,295.0,13,3835.0,"Per cold travel story. Unit today must somebody involve officer final.
Garden product including structure. I personal stuff president sell Democrat chair."
5,9,Vegetable Oil,2020-07-16,4,60.95,5,304.75,Guess official his interview beyond wonder group social. Vote machine tell forward eight. First feel organization word any series.
17,5,Butter,2023-06-15,18,292.91,2,585.82,"Control pay right find page easy unit.
Personal cell leave now space. Staff speak our call. Bag character such force recently chance."
10,8,Biscuits,2023-05-23,7,31.31,19,594.89,"Teach building heart address office. Tough particular stop only reality professor.
Mind avoid book. Expert pick budget position anything moment teach sound. Natural here six but site all."
16,9,Shampoo,2020-11-18,17,211.84,15,3177.6,Building stage reality hair. Movement significant down race likely modern cultural bad. Interest three establish. Ok book treat participant agency population.
12,9,Shampoo,2021-06-10,3,28.53,1,28.53,Common central wide. Right test may job. Budget program require probably. Break order outside rule tree.
6,7,Coffee,2020-09-17,5,96.07,11,1056.77,Late central bad serve. Process nor several pass star. Think determine everybody likely pressure better.
12,8,Shampoo,2020-08-25,11,477.37,16,7637.92,"Recognize why material write suffer with. Let four thank college discuss democratic remain.
Air physical step full. Toward gun board design key pass exactly."
17,7,Soft Drinks,2021-10-26,18,257.21,8,2057.68,"Decade moment address dark determine old. Raise rock both matter city when investment majority.
Head race avoid consider miss natural. Set plan different general mention."
7,10,Detergent,2021-09-14,13,146.04,16,2336.64,"Manage avoid better computer. Know push minute necessary century.
For cover blood decide bring whether. Their purpose remain western."
8,10,Shampoo,2020-08-11,15,157.82,12,1893.84,Hot away full speech husband might. Radio situation finish laugh letter recognize clearly.
8,3,Bread,2022-05-25,8,323.4,17,5497.8,Nature media true sense firm successful. Above star business animal word on fear senior. Top human yard sing dinner concern eye defense.
10,3,Sugar,2020-01-26,9,404.75,13,5261.75,"Employee sort expert improve hard. I former result president seek Republican during dinner.
Right enough scene. Himself space want ever."
14,8,Bread,2021-04-19,12,74.11,17,1259.87,End doctor its common guess. Imagine we audience about represent. Simple occur book so within machine final.
7,7,Sugar,2023-04-19,1,199.99,4,799.96,"Appear prepare American fund. Account store note increase difficult leave.
Point person than never. Describe pass mind safe.
Campaign ball read culture. Source several mouth board people enjoy."
15,3,Bread,2022-01-23,12,235.06,1,235.06,"About myself president speech. Type author history including. Buy event may reflect four.
Nor soldier stand always take tend. Start central west least usually. Road popular TV century read thing."
3,6,Tea,2021-06-28,10,453.45,1,453.45,"Win book you country.
Best which student approach stand prepare. Car agency ask. Know church whom season soon big sometimes."
19,10,Toothpaste,2023-06-14,4,474.55,13,6169.15,Record beyond though economic catch fact campaign station. On north course hand. Add imagine heavy eye college Republican.
9,6,Coffee,2021-02-08,2,306.33,8,2450.64,"Strong manager follow blood. First mission night little. Phone look team bring. It true national simple PM.
Movement new give cold. Soon game too result as door interest difficult."
5,8,Biscuits,2020-02-07,12,242.8,14,3399.2,"Tree discuss few that another. Which fine happy until argue. Ok gun bar oil by.
Picture think at road truth up. Score mind sing sister growth memory. Drop strategy board know hit student military."
3,2,Biscuits,2022-06-08,19,425.08,16,6801.28,"Through Mr kid. Have huge she he city mind. Great total hope some.
Subject reality main interest dog. Interesting dog prepare our parent senior. Entire address person after begin."
12,8,Soft Drinks,2020-06-16,2,465.8,9,4192.2,"Test student exist decision fear Congress. Medical most write. Father star ability.
Sport to way. Control you manager kitchen. West something agency term star not animal."
9,6,Biscuits,2022-06-26,13,107.16,3,321.48,"Eat four cold kind early charge. Community game about whole across time never. One charge research smile at for.
Nice moment rate degree agency. Plant opportunity whatever article appear writer."
7,3,Tea,2022-04-08,3,265.07,7,1855.49,"Nearly all under well business skin. Which beautiful cost member.
Include while population oil. Rise customer clear country some. Light idea ten early movement."
13,5,Bread,2020-08-20,7,296.22,5,1481.1,"Determine outside again three win job cultural. Present produce more standard during democratic.
Increase show compare drive vote ball treat. Congress sound choose us for too wrong professor."
5,3,Eggs,2021-01-11,6,230.41,16,3686.56,"Main away election item live matter question. Magazine world so although son lot.
Effect space every accept. Culture drive financial democratic interest fear."
6,7,Frozen Vegetables,2020-12-16,15,50.79,11,558.69,Fall behavior TV listen may term man. Reduce particularly issue play. Reflect kitchen money include.
12,2,Shampoo,2021-11-24,18,125.82,17,2138.94,"Eat kitchen never forget degree. Name so range human draw.
Thousand environment cell they attack. Later citizen successful marriage sort. Bill and defense threat nearly. Floor clearly focus red."
7,10,Soap,2023-03-31,6,170.21,4,680.84,"Mouth wait because soon who. Mission total bed pull. Now could guy middle cultural.
Thing can factor. Bit rich present measure however set."
6,7,Wheat Flour,2021-08-07,5,460.5,16,7368.0,"Message expect southern foreign you. Ok plan coach watch. Present before detail order.
We that dark party morning.
Performance pattern authority way. Street war serve fish boy per skin."
2,10,Soft Drinks,2021-02-27,12,110.81,4,443.24,"During agreement identify according.
Mr public at free group skin inside. Involve movie former give worry. Pick successful start card."
15,10,Coffee,2021-08-22,2,109.4,20,2188.0,"Know surface interest happy. Force family one identify. President bank ready manager mean rest.
Similar shake rich exist specific win behind. Theory in around school. My fight bring."
6,9,Salt,2021-12-04,5,379.33,2,758.66,"Several anything stuff media person. Small fast various doctor.
Contain financial week police laugh. Already contain imagine remember tree. Treatment small blue official easy raise bed."
14,4,Pulses,2021-04-15,2,344.76,3,1034.28,"Hand civil herself test. Whether leader only yard the challenge believe.
Land rule policy. Receive week push end happy book loss."
1,7,Juice,2022-01-20,3,178.76,17,3038.92,Cold a teacher system drop ball man. Hotel health test join outside education baby.
